id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kondisi_tanaman,luas_tanaman,satuan,tahun
251,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TM,7569.0,HEKTAR,2016
252,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TR/TTM,5602.0,HEKTAR,2016
253,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TBM,0.0,HEKTAR,2016
254,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TM,1652.0,HEKTAR,2016
255,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TR/TTM,49.0,HEKTAR,2016
256,32,JAWA BARAT,3205,KABUPATEN GARUT,TBM,221.0,HEKTAR,2016
257,32,JAWA BARAT,3205,KABUPATEN GARUT,TM,2761.0,HEKTAR,2016
258,32,JAWA BARAT,3205,KABUPATEN GARUT,TR/TTM,348.0,HEKTAR,2016
259,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TBM,252.0,HEKTAR,2016
260,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TM,6662.0,HEKTAR,2016
261,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TR/TTM,2364.0,HEKTAR,2016
262,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TBM,0.0,HEKTAR,2016
263,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TM,87.0,HEKTAR,2016
264,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TR/TTM,87.0,HEKTAR,2016
265,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TBM,0.0,HEKTAR,2016
266,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TM,0.0,HEKTAR,2016
267,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TR/TTM,0.0,HEKTAR,2016
268,32,JAWA BARAT,3209,KABUPATEN CIREBON,TBM,0.0,HEKTAR,2016
269,32,JAWA BARAT,3209,KABUPATEN CIREBON,TM,0.0,HEKTAR,2016
270,32,JAWA BARAT,3209,KABUPATEN CIREBON,TR/TTM,0.0,HEKTAR,2016
271,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TBM,145.0,HEKTAR,2016
272,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TM,275.0,HEKTAR,2016
273,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TR/TTM,253.0,HEKTAR,2016
274,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TBM,24.0,HEKTAR,2016
275,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TM,323.0,HEKTAR,2016
276,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TR/TTM,178.0,HEKTAR,2016
277,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TBM,0.0,HEKTAR,2016
278,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TM,0.0,HEKTAR,2016
279,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TR/TTM,0.0,HEKTAR,2016
280,32,JAWA BARAT,3213,KABUPATEN SUBANG,TBM,64.0,HEKTAR,2016
281,32,JAWA BARAT,3213,KABUPATEN SUBANG,TM,385.0,HEKTAR,2016
282,32,JAWA BARAT,3213,KABUPATEN SUBANG,TR/TTM,84.0,HEKTAR,2016
283,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TBM,476.0,HEKTAR,2016
